threshold,tn,fp,fn,tp,total_urls,phishing_real,alerts,recall,precision,false_positive_rate,cost_without_model,cost_with_model,review_cost,operational_cost,operational_cost_total,net_savings,roi,value_per_1000_urls,annual_cost_without_model,annual_cost_with_model,annual_net_savings,value_test,value_per_case,annual_value
0.3,521,45,17,587,1170,604,632,0.971854,0.928797,0.079505,302000.0,11474.0,1264.0,585.0,1849.0,290526.0,157.126014,248312.82,25811965.81,980683.76,24831282.05,290526.0,248.3128,24831282.05
0.31,522,44,17,587,1170,604,631,0.971854,0.930269,0.077739,302000.0,11447.0,1262.0,585.0,1847.0,290553.0,157.310774,248335.9,25811965.81,978376.07,24833589.74,290553.0,248.3359,24833589.74
0.32,522,44,18,586,1170,604,630,0.970199,0.930159,0.077739,302000.0,11945.0,1260.0,585.0,1845.0,290055.0,157.211382,247910.26,25811965.81,1020940.17,24791025.64,290055.0,247.9103,24791025.64
0.33,523,43,20,584,1170,604,627,0.966887,0.931419,0.075972,302000.0,12914.0,1254.0,585.0,1839.0,289086.0,157.19739,247082.05,25811965.81,1103760.68,24708205.13,289086.0,247.0821,24708205.13
0.34,524,42,21,583,1170,604,625,0.965232,0.9328,0.074205,302000.0,13385.0,1250.0,585.0,1835.0,288615.0,157.283379,246679.49,25811965.81,1144017.09,24667948.72,288615.0,246.6795,24667948.72
0.35,525,41,21,583,1170,604,624,0.965232,0.934295,0.072438,302000.0,13358.0,1248.0,585.0,1833.0,288642.0,157.469722,246702.56,25811965.81,1141709.4,24670256.41,288642.0,246.7026,24670256.41
0.36,525,41,21,583,1170,604,624,0.965232,0.934295,0.072438,302000.0,13358.0,1248.0,585.0,1833.0,288642.0,157.469722,246702.56,25811965.81,1141709.4,24670256.41,288642.0,246.7026,24670256.41
0.37,527,39,23,581,1170,604,620,0.961921,0.937097,0.068905,302000.0,14300.0,1240.0,585.0,1825.0,287700.0,157.643836,245897.44,25811965.81,1222222.22,24589743.59,287700.0,245.8974,24589743.59
0.38,527,39,23,581,1170,604,620,0.961921,0.937097,0.068905,302000.0,14300.0,1240.0,585.0,1825.0,287700.0,157.643836,245897.44,25811965.81,1222222.22,24589743.59,287700.0,245.8974,24589743.59
0.39,530,36,23,581,1170,604,617,0.961921,0.941653,0.063604,302000.0,14219.0,1234.0,585.0,1819.0,287781.0,158.208356,245966.67,25811965.81,1215299.15,24596666.67,287781.0,245.9667,24596666.67
0.4,530,36,24,580,1170,604,616,0.960265,0.941558,0.063604,302000.0,14717.0,1232.0,585.0,1817.0,287283.0,158.10842,245541.03,25811965.81,1257863.25,24554102.56,287283.0,245.541,24554102.56
0.41,531,35,25,579,1170,604,614,0.958609,0.942997,0.061837,302000.0,15188.0,1228.0,585.0,1813.0,286812.0,158.197463,245138.46,25811965.81,1298119.66,24513846.15,286812.0,245.1385,24513846.15
0.42,532,34,25,579,1170,604,613,0.958609,0.944535,0.060071,302000.0,15161.0,1226.0,585.0,1811.0,286839.0,158.387079,245161.54,25811965.81,1295811.97,24516153.85,286839.0,245.1615,24516153.85
0.43,532,34,25,579,1170,604,613,0.958609,0.944535,0.060071,302000.0,15161.0,1226.0,585.0,1811.0,286839.0,158.387079,245161.54,25811965.81,1295811.97,24516153.85,286839.0,245.1615,24516153.85
0.44,532,34,26,578,1170,604,612,0.956954,0.944444,0.060071,302000.0,15659.0,1224.0,585.0,1809.0,286341.0,158.286899,244735.9,25811965.81,1338376.07,24473589.74,286341.0,244.7359,24473589.74
0.45,534,32,26,578,1170,604,610,0.956954,0.947541,0.056537,302000.0,15605.0,1220.0,585.0,1805.0,286395.0,158.66759,244782.05,25811965.81,1333760.68,24478205.13,286395.0,244.7821,24478205.13
0.46,534,32,26,578,1170,604,610,0.956954,0.947541,0.056537,302000.0,15605.0,1220.0,585.0,1805.0,286395.0,158.66759,244782.05,25811965.81,1333760.68,24478205.13,286395.0,244.7821,24478205.13
0.47,537,29,26,578,1170,604,607,0.956954,0.952224,0.051237,302000.0,15524.0,1214.0,585.0,1799.0,286476.0,159.241801,244851.28,25811965.81,1326837.61,24485128.21,286476.0,244.8513,24485128.21
0.48,537,29,28,576,1170,604,605,0.953642,0.952066,0.051237,302000.0,16520.0,1210.0,585.0,1795.0,285480.0,159.041783,244000.0,25811965.81,1411965.81,24400000.0,285480.0,244.0,24400000.0
0.49,537,29,29,575,1170,604,604,0.951987,0.951987,0.051237,302000.0,17018.0,1208.0,585.0,1793.0,284982.0,158.941439,243574.36,25811965.81,1454529.91,24357435.9,284982.0,243.5744,24357435.9
0.5,537,29,30,574,1170,604,603,0.950331,0.951907,0.051237,302000.0,17516.0,1206.0,585.0,1791.0,284484.0,158.840871,243148.72,25811965.81,1497094.02,24314871.79,284484.0,243.1487,24314871.79
0.51,538,28,32,572,1170,604,600,0.94702,0.953333,0.04947,302000.0,18485.0,1200.0,585.0,1785.0,283515.0,158.831933,242320.51,25811965.81,1579914.53,24232051.28,283515.0,242.3205,24232051.28
0.52,539,27,33,571,1170,604,598,0.945364,0.954849,0.047703,302000.0,18956.0,1196.0,585.0,1781.0,283044.0,158.9242,241917.95,25811965.81,1620170.94,24191794.87,283044.0,241.9179,24191794.87
0.53,540,26,35,569,1170,604,595,0.942053,0.956303,0.045936,302000.0,19925.0,1190.0,585.0,1775.0,282075.0,158.915493,241089.74,25811965.81,1702991.45,24108974.36,282075.0,241.0897,24108974.36
0.54,540,26,36,568,1170,604,594,0.940397,0.956229,0.045936,302000.0,20423.0,1188.0,585.0,1773.0,281577.0,158.813875,240664.1,25811965.81,1745555.56,24066410.26,281577.0,240.6641,24066410.26
0.55,541,25,36,568,1170,604,593,0.940397,0.957841,0.04417,302000.0,20396.0,1186.0,585.0,1771.0,281604.0,159.00847,240687.18,25811965.81,1743247.86,24068717.95,281604.0,240.6872,24068717.95
0.56,541,25,37,567,1170,604,592,0.938742,0.95777,0.04417,302000.0,20894.0,1184.0,585.0,1769.0,281106.0,158.906727,240261.54,25811965.81,1785811.97,24026153.85,281106.0,240.2615,24026153.85
0.57,542,24,38,566,1170,604,590,0.937086,0.959322,0.042403,302000.0,21365.0,1180.0,585.0,1765.0,280635.0,159.0,239858.97,25811965.81,1826068.38,23985897.44,280635.0,239.859,23985897.44
0.58,543,23,39,565,1170,604,588,0.93543,0.960884,0.040636,302000.0,21836.0,1176.0,585.0,1761.0,280164.0,159.093697,239456.41,25811965.81,1866324.79,23945641.03,280164.0,239.4564,23945641.03
0.59,544,22,40,564,1170,604,586,0.933775,0.962457,0.038869,302000.0,22307.0,1172.0,585.0,1757.0,279693.0,159.18782,239053.85,25811965.81,1906581.2,23905384.62,279693.0,239.0538,23905384.62
0.6,544,22,41,563,1170,604,585,0.932119,0.962393,0.038869,302000.0,22805.0,1170.0,585.0,1755.0,279195.0,159.08547,238628.21,25811965.81,1949145.3,23862820.51,279195.0,238.6282,23862820.51
0.61,545,21,41,563,1170,604,584,0.932119,0.964041,0.037102,302000.0,22778.0,1168.0,585.0,1753.0,279222.0,159.282373,238651.28,25811965.81,1946837.61,23865128.21,279222.0,238.6513,23865128.21
0.62,545,21,43,561,1170,604,582,0.928808,0.963918,0.037102,302000.0,23774.0,1164.0,585.0,1749.0,278226.0,159.077187,237800.0,25811965.81,2031965.81,23780000.0,278226.0,237.8,23780000.0
0.63,545,21,43,561,1170,604,582,0.928808,0.963918,0.037102,302000.0,23774.0,1164.0,585.0,1749.0,278226.0,159.077187,237800.0,25811965.81,2031965.81,23780000.0,278226.0,237.8,23780000.0
0.64,545,21,43,561,1170,604,582,0.928808,0.963918,0.037102,302000.0,23774.0,1164.0,585.0,1749.0,278226.0,159.077187,237800.0,25811965.81,2031965.81,23780000.0,278226.0,237.8,23780000.0
0.65,545,21,43,561,1170,604,582,0.928808,0.963918,0.037102,302000.0,23774.0,1164.0,585.0,1749.0,278226.0,159.077187,237800.0,25811965.81,2031965.81,23780000.0,278226.0,237.8,23780000.0
0.66,545,21,46,558,1170,604,579,0.923841,0.963731,0.037102,302000.0,25268.0,1158.0,585.0,1743.0,276732.0,158.767642,236523.08,25811965.81,2159658.12,23652307.69,276732.0,236.5231,23652307.69
0.67,546,20,46,558,1170,604,578,0.923841,0.965398,0.035336,302000.0,25241.0,1156.0,585.0,1741.0,276759.0,158.965537,236546.15,25811965.81,2157350.43,23654615.38,276759.0,236.5462,23654615.38
0.68,547,19,46,558,1170,604,577,0.923841,0.967071,0.033569,302000.0,25214.0,1154.0,585.0,1739.0,276786.0,159.163887,236569.23,25811965.81,2155042.74,23656923.08,276786.0,236.5692,23656923.08
0.69,548,18,49,555,1170,604,573,0.918874,0.968586,0.031802,302000.0,26681.0,1146.0,585.0,1731.0,275319.0,159.051993,235315.38,25811965.81,2280427.35,23531538.46,275319.0,235.3154,23531538.46
0.7,549,17,52,552,1170,604,569,0.913907,0.970123,0.030035,302000.0,28148.0,1138.0,585.0,1723.0,273852.0,158.93906,234061.54,25811965.81,2405811.97,23406153.85,273852.0,234.0615,23406153.85
0.71,549,17,54,550,1170,604,567,0.910596,0.970018,0.030035,302000.0,29144.0,1134.0,585.0,1719.0,272856.0,158.729494,233210.26,25811965.81,2490940.17,23321025.64,272856.0,233.2103,23321025.64
0.72,550,16,56,548,1170,604,564,0.907285,0.971631,0.028269,302000.0,30113.0,1128.0,585.0,1713.0,271887.0,158.71979,232382.05,25811965.81,2573760.68,23238205.13,271887.0,232.3821,23238205.13
0.73,550,16,57,547,1170,604,563,0.905629,0.971581,0.028269,302000.0,30611.0,1126.0,585.0,1711.0,271389.0,158.614261,231956.41,25811965.81,2616324.79,23195641.03,271389.0,231.9564,23195641.03
0.74,551,15,60,544,1170,604,559,0.900662,0.973166,0.026502,302000.0,32078.0,1118.0,585.0,1703.0,269922.0,158.497945,230702.56,25811965.81,2741709.4,23070256.41,269922.0,230.7026,23070256.41
0.75,551,15,62,542,1170,604,557,0.897351,0.97307,0.026502,302000.0,33074.0,1114.0,585.0,1699.0,268926.0,158.284873,229851.28,25811965.81,2826837.61,22985128.21,268926.0,229.8513,22985128.21
0.76,552,14,63,541,1170,604,555,0.895695,0.974775,0.024735,302000.0,33545.0,1110.0,585.0,1695.0,268455.0,158.380531,229448.72,25811965.81,2867094.02,22944871.79,268455.0,229.4487,22944871.79
0.77,553,13,64,540,1170,604,553,0.89404,0.976492,0.022968,302000.0,34016.0,1106.0,585.0,1691.0,267984.0,158.476641,229046.15,25811965.81,2907350.43,22904615.38,267984.0,229.0462,22904615.38
0.78,553,13,65,539,1170,604,552,0.892384,0.976449,0.022968,302000.0,34514.0,1104.0,585.0,1689.0,267486.0,158.369449,228620.51,25811965.81,2949914.53,22862051.28,267486.0,228.6205,22862051.28
